FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
PLAZA AV,PLAZA_AV.html,80,0,0,0,0,79.2,25.1
PISMO CT,PISMO_CT.html,58,0,0,0,0,56.7,23.9
PISCES AV,PISCES_AV.html,111,0,0,0,0,109.4,26.5
PINEHURST CT,PINEHURST_CT.html,31,0,0,0,0,30.2,22.5
PILLSBURY CT,PILLSBURY_CT.html,77,0,0,0,0,75.7,25.3
POLK WY,POLK_WY.html,108,0,0,0,0,106.5,26.6
POIPU CM,POIPU_CM.html,63,0,0,0,0,60.4,24.3
PLUMAS CT,PLUMAS_CT.html,56,0,0,0,0,54.8,24.0
PLUM TREE ST,PLUM_TREE_ST.html,143,0,0,0,0,142.2,28.4
CORTLAND WY,CORTLAND_WY.html,82,0,0,0,0,81.1,25.2
STANFORD CT,STANFORD_CT.html,53,0,0,0,0,51.7,23.7
BRUSHY PEAK CT,BRUSHY_PEAK_CT.html,30,0,0,0,0,29.4,22.3
PATRICIA LN,PATRICIA_LN.html,124,0,0,0,0,123.2,27.3
PARDEE PL,PARDEE_PL.html,59,0,0,0,0,57.9,24.1
PAMELA CM,PAMELA_CM.html,197,0,0,0,0,195.0,30.9
OXFORD PL,OXFORD_PL.html,59,0,0,0,0,57.3,24.3
DESCONSADO AV,DESCONSADO_AV.html,213,0,0,0,0,212.3,31.7
DE PAUL WY,DE_PAUL_WY.html,126,0,0,0,0,125.2,27.2
DE LEON WY,DE_LEON_WY.html,592,0,0,0,0,587.3,49.3
DE CAEN CT,DE_CAEN_CT.html,78,0,0,0,0,77.0,25.0
DATE PALM WY,DATE_PALM_WY.html,152,0,1,0,1,149.4,35.1
PELICAN CT,PELICAN_CT.html,67,0,0,0,0,66.0,24.5
PEGAN CM,PEGAN_CM.html,176,0,0,0,0,174.3,29.8
PECAN TREE WY,PECAN_TREE_WY.html,145,0,0,0,0,141.1,28.3
PEARY CT,PEARY_CT.html,87,0,0,0,0,86.0,25.5
CURRANT CM,CURRANT_CM.html,79,0,0,0,0,78.3,24.9
DONNER AV,DONNER_AV.html,224,0,0,0,0,222.9,31.7
DOLCETTO CM,DOLCETTO_CM.html,509,0,0,0,0,502.5,45.3
DOGWOOD DR,DOGWOOD_DR.html,82,0,0,0,0,81.7,25.1
DICKENSON DR,DICKENSON_DR.html,61,0,0,0,0,59.5,24.3
OLYMPIC WY,OLYMPIC_WY.html,83,0,0,0,0,82.6,25.4
ECHO ST,ECHO_ST.html,80,0,0,0,0,79.2,24.9
BREEZE WY,BREEZE_WY.html,105,0,0,0,0,104.7,26.0
BRADFORD WY,BRADFORD_WY.html,97,0,0,0,0,96.5,26.1
BOXWOOD CT,BOXWOOD_CT.html,52,0,0,0,0,50.4,23.5
BOWER CT,BOWER_CT.html,96,0,0,0,0,95.1,25.7
STEALTH CT,STEALTH_CT.html,61,0,0,0,0,59.6,24.1
DELIA WY,DELIA_WY.html,203,0,0,0,0,202.3,30.9
DELAWARE CT,DELAWARE_CT.html,22,0,0,0,0,21.4,21.9
ORCHID PL,ORCHID_PL.html,22,0,0,0,0,20.9,22.0
ORA AV,ORA_AV.html,255,0,0,0,0,251.9,33.5
OPAL WY,OPAL_WY.html,82,0,0,0,0,81.4,25.2
DUKE CT,DUKE_CT.html,64,0,0,0,0,62.9,24.3
NOTRE DAME CT,NOTRE_DAME_CT.html,131,0,0,0,0,129.6,27.5
NORWOOD PL,NORWOOD_PL.html,36,0,0,0,0,35.0,22.9
NORTHFRONT ON I580 WB,NORTHFRONT_ON_I580_WB.html,317,0,0,0,0,315.8,36.8
NORTHFRONT OFF I580 WB,NORTHFRONT_OFF_I580_WB.html,341,0,1,0,1,340.3,45.1
NISSEN DR,NISSEN_DR.html,345,0,0,0,0,342.2,37.9
NINTH ST,NINTH_ST.html,455,0,0,0,0,2548.3,43.6
BLUEBIRD AV,BLUEBIRD_AV.html,198,0,0,0,0,196.3,30.5
