FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
LLOYD ST,LLOYD_ST.html,342,6,1,1,0,338.6,54.2
N M ST,N_M_ST.html,821,6,0,0,0,812.4,69.9
LENNOX LN,LENNOX_LN.html,184,6,1,1,0,182.2,54.1
LELAND WY,LELAND_WY.html,395,6,0,0,0,390.5,50.7
TERMINAL CI,TERMINAL_CI.html,368,6,1,1,0,367.6,62.5
BELLA KRISTINA LN,BELLA_KRISTINA_LN.html,135,6,0,0,0,133.7,44.9
LEISURE ST,LEISURE_ST.html,280,6,0,0,0,279.0,51.9
GUSTY LP,GUSTY_LP.html,248,6,2,2,0,317.8,57.0
FONTONETT AV,FONTONETT_AV.html,559,6,0,0,0,555.1,57.4
SALVIA CM,SALVIA_CM.html,58,6,0,0,0,56.9,35.1
FLORENCE RD,FLORENCE_RD.html,567,6,0,0,0,560.3,57.8
S Q ST,S_Q_ST.html,461,6,1,1,0,457.1,60.3
BERRYESSA ST,BERRYESSA_ST.html,120,6,0,0,0,118.7,37.9
BENNETT DR,BENNETT_DR.html,730,6,1,1,0,727.3,78.4
HALF DOME WY,HALF_DOME_WY.html,88,5,1,1,0,87.2,42.7
HAREWOOD DR,HAREWOOD_DR.html,398,5,0,0,0,395.3,50.8
OLD FIRST ST,OLD_FIRST_ST.html,401,5,1,1,0,397.2,63.5
PLEASANT VIEW LN,PLEASANT_VIEW_LN.html,259,5,0,0,0,258.9,50.5
CRYSTAL CI,CRYSTAL_CI.html,491,5,0,0,0,652.8,55.4
AUTUMN WY,AUTUMN_WY.html,60,5,0,0,0,59.4,34.8
LAGISS CT,LAGISS_CT.html,69,5,0,0,0,68.2,35.7
LAGUNA ST,LAGUNA_ST.html,671,5,1,1,0,664.6,68.2
KOBIO ST,KOBIO_ST.html,100,5,1,1,0,98.4,43.3
VIENNA ST,VIENNA_ST.html,509,5,0,0,0,503.7,55.0
WELLINGHAM DR,WELLINGHAM_DR.html,553,5,0,0,0,548.9,58.8
IROQUOIS AV,IROQUOIS_AV.html,328,5,0,0,0,323.9,46.9
JAMI ST,JAMI_ST.html,160,5,1,1,0,158.5,46.1
WOLF HOUSE DR,WOLF_HOUSE_DR.html,735,5,4,1,3,733.6,85.7
ALICE WY,ALICE_WY.html,228,5,1,1,0,225.3,48.7
JEFFERSON AV,JEFFERSON_AV.html,440,5,0,0,0,435.0,52.1
KAREN WY,KAREN_WY.html,80,5,0,0,0,79.1,36.1
WAVERLEY WY,WAVERLEY_WY.html,498,5,0,0,0,494.5,56.7
DOLORES ST,DOLORES_ST.html,429,5,0,0,0,422.8,51.3
ONTARIO DR,ONTARIO_DR.html,775,5,2,2,0,772.0,73.3
HEARST ST,HEARST_ST.html,138,5,0,0,0,137.1,38.8
ARIA CT,ARIA_CT.html,98,5,0,0,0,97.0,36.8
WEDGEWOOD WY,WEDGEWOOD_WY.html,419,5,1,1,0,415.1,58.1
DALTON AV,DALTON_AV.html,517,5,0,0,0,782.3,61.1
GROVE CT,GROVE_CT.html,69,5,0,0,0,68.5,41.8
LEAFCREST CM,LEAFCREST_CM.html,30,5,0,0,0,28.5,33.5
